[1],[1],[1],1
[1 2],[1 2],[1 4],5
[1 2 3],[1 2 6],[1 4 18],23
[1 2 3 4],[1 2 6 24],[1 4 18 96],119
[1 2 3 4 5],[1 2 6 24 120],[1 4 18 96 600],719
[1 2 3 4 5 6],[1 2 6 24 120 720],[1 4 18 96 600 4320],5039
[1 2 3 4 5 6 7],[1 2 6 24 120 720 5040],[1 4 18 96 600 4320 35280],40319
[1 2 3 4 5 6 7 8],[1 2 6 24 120 720 5040 40320],[1 4 18 96 600 4320 35280 322560],362879
[1 2 3 4 5 6 7 8 9],[1 2 6 24 120 720 5040 40320 362880],[1 4 18 96 600 4320 35280 322560 3265920],3628799
[1 2 3 4 5 6 7 8 9 10],[1 2 6 24 120 720 5040 40320 362880 3628800],[1 4 18 96 600 4320 35280 322560 3265920 36288000],39916799
[1 2 3 4 5 6 7 8 9 10 11],[1 2 6 24 120 720 5040 40320 362880 3628800 39916800],[1 4 18 96 600 4320 35280 322560 3265920 36288000 439084800],479001599
[1 2 3 4 5 6 7 8 9 10 11 12],[1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600],[1 4 18 96 600 4320 35280 322560 3265920 36288000 439084800 5748019200],6227020799
[1 2 3 4 5 6 7 8 9 10 11 12 13],[1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 6227020800],[1 4 18 96 600 4320 35280 322560 3265920 36288000 439084800 5748019200 80951270400],87178291199
[1 2 3 4 5 6 7 8 9 10 11 12 13 14],[1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 6227020800 87178291200],[1 4 18 96 600 4320 35280 322560 3265920 36288000 439084800 5748019200 80951270400 1220496076800],1307674367999
[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15],[1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 6227020800 87178291200 1307674368000],[1 4 18 96 600 4320 35280 322560 3265920 36288000 439084800 5748019200 80951270400 1220496076800 19615115520000],20922789887999
[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16],[1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 6227020800 87178291200 1307674368000 20922789888000],[1 4 18 96 600 4320 35280 322560 3265920 36288000 439084800 5748019200 80951270400 1220496076800 19615115520000 334764638208000],355687428095999
[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17],[1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 6227020800 87178291200 1307674368000 20922789888000 355687428096000],[1 4 18 96 600 4320 35280 322560 3265920 36288000 439084800 5748019200 80951270400 1220496076800 19615115520000 334764638208000 6046686277632000],6402373705727999
[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18],[1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 6227020800 87178291200 1307674368000 20922789888000 355687428096000 6402373705728000],[1 4 18 96 600 4320 35280 322560 3265920 36288000 439084800 5748019200 80951270400 1220496076800 19615115520000 334764638208000 6046686277632000 115242726703104000],121645100408831999
[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19],[1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 6227020800 87178291200 1307674368000 20922789888000 355687428096000 6402373705728000 121645100408832000],[1 4 18 96 600 4320 35280 322560 3265920 36288000 439084800 5748019200 80951270400 1220496076800 19615115520000 334764638208000 6046686277632000 115242726703104000 2311256907767808000],2432902008176639999
